Name,,Team,œm,SXI,Sub,Goals,KC,Full CS,Part CS,Goals Conc,OG,Yellow Card,Red Card,Missed Pens,Saved Pens,Pts/œm,%,Week Points,Season Points,
,"Kolasinac, S",Arsenal,ARS,3.8,7,0,0,2,4,0,6,0,1,0,0,-,9.5,10,1,36
,"Monreal, N",Arsenal,ARS,3.8,8,0,1,0,4,0,10,0,0,0,0,-,9.2,3,1,35
,"Lacazette, A",Arsenal,ARS,6,7,1,4,0,-,-,-,0,0,0,0,-,5.8,19,2,35
,"Bellerin, H",Arsenal,ARS,4.2,8,0,0,1,4,0,10,0,1,0,0,-,7.6,6,1,32
,"Cech, P",Arsenal,ARS,3.7,8,0,0,0,4,0,10,0,0,0,0,0,8.1,3,1,30
,"Mustafi, S",Arsenal,ARS,3.9,5,0,0,0,4,0,1,0,0,0,0,-,7.7,0,0,30
,"Ramsey, A",Arsenal,ARS,4.2,6,1,1,4,-,-,-,0,0,0,0,-,7.1,6,0,30
,"Welbeck, D",Arsenal,ARS,4.9,6,0,3,1,-,-,-,0,1,0,0,-,5.9,0,2,29
,"Xhaka, G",Arsenal,ARS,3.2,8,0,0,3,-,-,-,0,1,0,0,-,7.5,3,5,24
,"Koscielny, L",Arsenal,ARS,4,5,0,0,0,3,0,5,0,0,0,0,-,5.5,1,2,22
,"Giroud, O",Arsenal,ARS,5.6,0,8,1,0,-,-,-,0,0,0,0,-,2.3,0,1,13
,"Sanchez, A",Arsenal,ARS,7,3,2,0,2,-,-,-,0,1,0,0,-,1.9,4,0,13
,"Iwobi, A",Arsenal,ARS,3.9,3,1,1,0,-,-,-,0,0,0,0,-,3.1,0,2,12
,"Elneny, M",Arsenal,ARS,2.8,3,2,0,1,-,-,-,0,1,0,0,-,3.6,0,2,10
,"Ozil, M",Arsenal,ARS,5,4,2,0,0,-,-,-,0,1,0,0,-,1.8,2,1,9
,"Holding, R",Arsenal,ARS,3,3,1,0,0,1,0,8,0,1,0,0,-,2,0,1,6
,"Mertesacker, P",Arsenal,ARS,3.3,1,0,1,0,0,0,2,0,0,0,0,-,1.8,0,6,6
,"Walcott, T",Arsenal,ARS,4.2,0,3,0,0,-,-,-,0,0,0,0,-,0.7,1,0,3
,"Coquelin, F",Arsenal,ARS,2.9,0,2,0,0,-,-,-,0,0,0,0,-,0.7,0,0,2
,"Martinez, E",Arsenal,ARS,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
,"Jenkinson, C",Arsenal,ARS,2.9,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-
,"Debuchy, M",Arsenal,ARS,3,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-
,"Chambers, C",Arsenal,ARS,3.1,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-
,"Cazorla, S",Arsenal,ARS,3.2,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,-
,"Ospina, D",Arsenal,ARS,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
,"Wilshere, J",Arsenal,ARS,3.4,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,-
,Gabriel,Arsenal,ARS,3.7,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-
,"Perez, L",Arsenal,ARS,4,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,-
