Name,,Team,œm,SXI,Sub,Goals,KC,Full CS,Part CS,Goals Conc,OG,Yellow Card,Red Card,Missed Pens,Saved Pens,Pts/œm,%,Week Points,Season Points,
,"Morata, A",Chelsea,CHE,6.5,6,1,6,2,-,-,-,0,1,0,0,-,7.4,7,0,48
,"Azpilicueta, C",Chelsea,CHE,4.5,8,0,0,5,3,0,8,1,1,0,0,-,8.7,13,-2,39
,"Alonso, M",Chelsea,CHE,4.3,8,0,2,0,2,1,8,0,3,0,0,-,7.4,23,1,32
,"Courtois, T",Chelsea,CHE,4,8,0,0,0,3,0,8,0,0,0,0,0,7,9,1,28
,"Rudiger, A",Chelsea,CHE,3.9,6,0,0,1,2,0,6,0,2,0,0,-,5.4,1,0,21
,"Fabregas, C",Chelsea,CHE,4.3,6,1,1,2,-,-,-,0,0,1,0,-,4.9,2,5,21
,"Bakayoko, T",Chelsea,CHE,3.4,5,2,1,1,-,-,-,0,1,0,0,-,5.6,0,6,19
,"Luiz, D",Chelsea,CHE,4.1,6,0,1,0,2,0,7,0,2,1,0,-,4.6,5,1,19
,Pedro,Chelsea,CHE,4.9,4,3,1,1,-,-,-,0,0,0,0,-,3.9,2,1,19
,"Kante, N",Chelsea,CHE,3.2,7,0,1,0,-,-,-,0,1,0,0,-,5.6,3,0,18
,Willian,Chelsea,CHE,4.1,6,2,0,1,-,-,-,0,0,0,0,-,4.1,10,2,17
,"Christensen, A",Chelsea,CHE,2.7,3,3,0,0,1,2,5,0,0,0,0,-,5.9,0,0,16
,"Cahill, G",Chelsea,CHE,4.3,4,1,0,0,1,1,3,0,0,1,0,-,2.8,4,1,12
,"Moses, V",Chelsea,CHE,4.3,6,0,0,0,-,-,-,0,1,0,0,-,2.6,0,2,11
,"Hazard, E",Chelsea,CHE,6,2,3,0,0,-,-,-,0,0,0,0,-,1.2,8,2,7
,"Batshuayi, M",Chelsea,CHE,5.1,2,3,0,0,-,-,-,1,0,0,0,-,0.8,0,2,4
,"Musonda, C",Chelsea,CHE,2.3,0,2,0,0,-,-,-,0,0,0,0,-,0.9,0,1,2
,"Boga, J",Chelsea,CHE,2.4,1,0,0,0,-,-,-,0,0,0,0,-,0.8,0,0,2
,"Zappacosta, D",Chelsea,CHE,3.7,0,2,0,0,0,0,1,0,0,0,0,-,0.5,0,1,2
,Eduardo,Chelsea,CHE,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
,Kenedy,Chelsea,CHE,2.6,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,-
,"van Ginkel, M",Chelsea,CHE,2.6,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,-
,"Drinkwater, D",Chelsea,CHE,2.9,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,-
,"Caballero, W",Chelsea,CHE,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
,"Remy, L",Chelsea,CHE,4,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,-
,"Costa, D",Chelsea,CHE,6.4,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,-
