Round Number,Date,Location,Home Team,Away Team,Result
1,11/08/2017 18:45,Emirates Stadium,Arsenal,Leicester,4 - 3
1,12/08/2017 11:30,Vicarage Road,Watford,Liverpool,3 - 3
1,12/08/2017 14:00,Stamford Bridge,Chelsea,Burnley,2 - 3
1,12/08/2017 14:00,Selhurst Park,Crystal Palace,Huddersfield,0 - 3
1,12/08/2017 14:00,Goodison Park,Everton,Stoke,1 - 0
1,12/08/2017 14:00,St. Mary's Stadium,Southampton,Swansea,0 - 0
1,12/08/2017 14:00,The Hawthorns,West Brom,Bournemouth,1 - 0
1,12/08/2017 16:30,Amex Stadium,Brighton,Man City,0 - 2
1,13/08/2017 12:30,St. James' Park,Newcastle,Spurs,0 - 2
1,13/08/2017 15:00,Old Trafford,Man Utd,West Ham,4 - 0
2,19/08/2017 11:30,Liberty Stadium,Swansea,Man Utd,0 - 4
2,19/08/2017 14:00,Vitality Stadium,Bournemouth,Watford,0 - 2
2,19/08/2017 14:00,Turf Moor,Burnley,West Brom,0 - 1
2,19/08/2017 14:00,King Power Stadium,Leicester,Brighton,2 - 0
2,19/08/2017 14:00,Anfield,Liverpool,Crystal Palace,1 - 0
2,19/08/2017 14:00,St. Mary's Stadium,Southampton,West Ham,3 - 2
2,19/08/2017 16:30,bet365 Stadium,Stoke,Arsenal,1 - 0
2,20/08/2017 12:30,John Smith's Stadium,Huddersfield,Newcastle,1 - 0
2,20/08/2017 15:00,Wembley Stadium,Spurs,Chelsea,1 - 2
2,21/08/2017 19:00,Etihad Stadium,Man City,Everton,1 - 1
3,26/08/2017 11:30,Vitality Stadium,Bournemouth,Man City,1 - 2
3,26/08/2017 14:00,Selhurst Park,Crystal Palace,Swansea,0 - 2
3,26/08/2017 14:00,John Smith's Stadium,Huddersfield,Southampton,0 - 0
3,26/08/2017 14:00,St. James' Park,Newcastle,West Ham,3 - 0
3,26/08/2017 14:00,Vicarage Road,Watford,Brighton,0 - 0
3,26/08/2017 16:30,Old Trafford,Man Utd,Leicester,2 - 0
3,27/08/2017 12:30,Stamford Bridge,Chelsea,Everton,2 - 0
3,27/08/2017 12:30,The Hawthorns,West Brom,Stoke,1 - 1
3,27/08/2017 15:00,Anfield,Liverpool,Arsenal,4 - 0
3,27/08/2017 15:00,Wembley Stadium,Spurs,Burnley,1 - 1
4,09/09/2017 11:30,Etihad Stadium,Man City,Liverpool,5 - 0
4,09/09/2017 14:00,Emirates Stadium,Arsenal,Bournemouth,3 - 0
4,09/09/2017 14:00,Amex Stadium,Brighton,West Brom,3 - 1
4,09/09/2017 14:00,Goodison Park,Everton,Spurs,0 - 3
4,09/09/2017 14:00,King Power Stadium,Leicester,Chelsea,1 - 2
4,09/09/2017 14:00,St. Mary's Stadium,Southampton,Watford,0 - 2
4,09/09/2017 16:30,bet365 Stadium,Stoke,Man Utd,2 - 2
4,10/09/2017 12:30,Turf Moor,Burnley,Crystal Palace,1 - 0
4,10/09/2017 15:00,Liberty Stadium,Swansea,Newcastle,0 - 1
4,11/09/2017 19:00,London Stadium,West Ham,Huddersfield,2 - 0
5,15/09/2017 19:00,Vitality Stadium,Bournemouth,Brighton,2 - 1
5,16/09/2017 11:30,Selhurst Park,Crystal Palace,Southampton,0 - 1
5,16/09/2017 14:00,John Smith's Stadium,Huddersfield,Leicester,1 - 1
5,16/09/2017 14:00,Anfield,Liverpool,Burnley,1 - 1
5,16/09/2017 14:00,St. James' Park,Newcastle,Stoke,2 - 1
5,16/09/2017 14:00,Vicarage Road,Watford,Man City,0 - 6
5,16/09/2017 14:00,The Hawthorns,West Brom,West Ham,0 - 0
5,16/09/2017 16:30,Wembley Stadium,Spurs,Swansea,0 - 0
5,17/09/2017 12:30,Stamford Bridge,Chelsea,Arsenal,0 - 0
5,17/09/2017 15:00,Old Trafford,Man Utd,Everton,4 - 0
6,23/09/2017 11:30,London Stadium,West Ham,Spurs,2 - 3
6,23/09/2017 14:00,Turf Moor,Burnley,Huddersfield,0 - 0
6,23/09/2017 14:00,Goodison Park,Everton,Bournemouth,2 - 1
6,23/09/2017 14:00,Etihad Stadium,Man City,Crystal Palace,5 - 0
6,23/09/2017 14:00,St. Mary's Stadium,Southampton,Man Utd,0 - 1
6,23/09/2017 14:00,bet365 Stadium,Stoke,Chelsea,0 - 4
6,23/09/2017 14:00,Liberty Stadium,Swansea,Watford,1 - 2
6,23/09/2017 16:30,King Power Stadium,Leicester,Liverpool,2 - 3
6,24/09/2017 15:00,Amex Stadium,Brighton,Newcastle,1 - 0
6,25/09/2017 19:00,Emirates Stadium,Arsenal,West Brom,2 - 0
7,30/09/2017 11:30,John Smith's Stadium,Huddersfield,Spurs,
7,30/09/2017 14:00,Vitality Stadium,Bournemouth,Leicester,
7,30/09/2017 14:00,Old Trafford,Man Utd,Crystal Palace,
7,30/09/2017 14:00,bet365 Stadium,Stoke,Southampton,
7,30/09/2017 14:00,The Hawthorns,West Brom,Watford,
7,30/09/2017 14:00,London Stadium,West Ham,Swansea,
7,30/09/2017 16:30,Stamford Bridge,Chelsea,Man City,
7,01/10/2017 11:00,Emirates Stadium,Arsenal,Brighton,
7,01/10/2017 13:15,Goodison Park,Everton,Burnley,
7,01/10/2017 15:30,St. James' Park,Newcastle,Liverpool,
8,14/10/2017 11:30,Anfield,Liverpool,Man Utd,
8,14/10/2017 14:00,Turf Moor,Burnley,West Ham,
8,14/10/2017 14:00,Selhurst Park,Crystal Palace,Chelsea,
8,14/10/2017 14:00,Etihad Stadium,Man City,Stoke,
8,14/10/2017 14:00,Liberty Stadium,Swansea,Huddersfield,
8,14/10/2017 14:00,Wembley Stadium,Spurs,Bournemouth,
8,14/10/2017 16:30,Vicarage Road,Watford,Arsenal,
8,15/10/2017 12:30,Amex Stadium,Brighton,Everton,
8,15/10/2017 15:00,St. Mary's Stadium,Southampton,Newcastle,
8,16/10/2017 19:00,King Power Stadium,Leicester,West Brom,
9,20/10/2017 19:00,London Stadium,West Ham,Brighton,
9,21/10/2017 14:00,John Smith's Stadium,Huddersfield,Man Utd,
9,21/10/2017 14:00,Etihad Stadium,Man City,Burnley,
9,21/10/2017 14:00,St. James' Park,Newcastle,Crystal Palace,
9,21/10/2017 14:00,bet365 Stadium,Stoke,Bournemouth,
9,21/10/2017 14:00,Liberty Stadium,Swansea,Leicester,
9,21/10/2017 16:30,St. Mary's Stadium,Southampton,West Brom,
9,22/10/2017 12:30,Goodison Park,Everton,Arsenal,
9,22/10/2017 15:00,Wembley Stadium,Spurs,Liverpool,
9,23/10/2017 19:00,Stamford Bridge,Chelsea,Watford,
10,28/10/2017 11:30,Old Trafford,Man Utd,Spurs,
10,28/10/2017 14:00,Emirates Stadium,Arsenal,Swansea,
10,28/10/2017 14:00,Selhurst Park,Crystal Palace,West Ham,
10,28/10/2017 14:00,Anfield,Liverpool,Huddersfield,
10,28/10/2017 14:00,Vicarage Road,Watford,Stoke,
10,28/10/2017 14:00,The Hawthorns,West Brom,Man City,
10,28/10/2017 16:30,Vitality Stadium,Bournemouth,Chelsea,
10,29/10/2017 13:30,Amex Stadium,Brighton,Southampton,
10,29/10/2017 16:00,King Power Stadium,Leicester,Everton,
10,30/10/2017 20:00,Turf Moor,Burnley,Newcastle,
11,04/11/2017 12:30,bet365 Stadium,Stoke,Leicester,
11,04/11/2017 15:00,Goodison Park,Everton,Watford,
11,04/11/2017 15:00,John Smith's Stadium,Huddersfield,West Brom,
11,04/11/2017 15:00,St. James' Park,Newcastle,Bournemouth,
11,04/11/2017 15:00,St. Mary's Stadium,Southampton,Burnley,
11,04/11/2017 15:00,Liberty Stadium,Swansea,Brighton,
11,04/11/2017 17:30,London Stadium,West Ham,Liverpool,
11,05/11/2017 12:00,Wembley Stadium,Spurs,Crystal Palace,
11,05/11/2017 14:15,Etihad Stadium,Man City,Arsenal,
11,05/11/2017 16:30,Stamford Bridge,Chelsea,Man Utd,
12,18/11/2017 15:00,Vitality Stadium,Bournemouth,Huddersfield,
12,18/11/2017 15:00,Turf Moor,Burnley,Swansea,
12,18/11/2017 15:00,Selhurst Park,Crystal Palace,Everton,
12,18/11/2017 15:00,King Power Stadium,Leicester,Man City,
12,18/11/2017 15:00,Anfield,Liverpool,Southampton,
12,18/11/2017 15:00,The Hawthorns,West Brom,Chelsea,
12,18/11/2017 17:30,Old Trafford,Man Utd,Newcastle,
12,19/11/2017 13:30,Emirates Stadium,Arsenal,Spurs,
12,19/11/2017 16:00,Vicarage Road,Watford,West Ham,
12,20/11/2017 20:00,Amex Stadium,Brighton,Stoke,
13,24/11/2017 20:00,London Stadium,West Ham,Leicester,
13,25/11/2017 12:30,St. Mary's Stadium,Southampton,Everton,
13,25/11/2017 15:00,Selhurst Park,Crystal Palace,Stoke,
13,25/11/2017 15:00,Old Trafford,Man Utd,Brighton,
13,25/11/2017 15:00,St. James' Park,Newcastle,Watford,
13,25/11/2017 15:00,Liberty Stadium,Swansea,Bournemouth,
13,25/11/2017 15:00,Wembley Stadium,Spurs,West Brom,
13,25/11/2017 17:30,Anfield,Liverpool,Chelsea,
13,26/11/2017 14:00,Turf Moor,Burnley,Arsenal,
13,26/11/2017 16:00,John Smith's Stadium,Huddersfield,Man City,
14,28/11/2017 19:45,Amex Stadium,Brighton,Crystal Palace,
14,28/11/2017 19:45,King Power Stadium,Leicester,Spurs,
14,28/11/2017 20:00,Vicarage Road,Watford,Man Utd,
14,28/11/2017 20:00,The Hawthorns,West Brom,Newcastle,
14,29/11/2017 19:45,Emirates Stadium,Arsenal,Huddersfield,
14,29/11/2017 19:45,Vitality Stadium,Bournemouth,Burnley,
14,29/11/2017 19:45,Stamford Bridge,Chelsea,Swansea,
14,29/11/2017 20:00,Goodison Park,Everton,West Ham,
14,29/11/2017 20:00,Etihad Stadium,Man City,Southampton,
14,29/11/2017 20:00,bet365 Stadium,Stoke,Liverpool,
15,02/12/2017 15:00,Emirates Stadium,Arsenal,Man Utd,
15,02/12/2017 15:00,Vitality Stadium,Bournemouth,Southampton,
15,02/12/2017 15:00,Amex Stadium,Brighton,Liverpool,
15,02/12/2017 15:00,Stamford Bridge,Chelsea,Newcastle,
15,02/12/2017 15:00,Goodison Park,Everton,Huddersfield,
15,02/12/2017 15:00,King Power Stadium,Leicester,Burnley,
15,02/12/2017 15:00,Etihad Stadium,Man City,West Ham,
15,02/12/2017 15:00,bet365 Stadium,Stoke,Swansea,
15,02/12/2017 15:00,Vicarage Road,Watford,Spurs,
15,02/12/2017 15:00,The Hawthorns,West Brom,Crystal Palace,
16,09/12/2017 15:00,Turf Moor,Burnley,Watford,
16,09/12/2017 15:00,Selhurst Park,Crystal Palace,Bournemouth,
16,09/12/2017 15:00,John Smith's Stadium,Huddersfield,Brighton,
16,09/12/2017 15:00,Anfield,Liverpool,Everton,
16,09/12/2017 15:00,Old Trafford,Man Utd,Man City,
16,09/12/2017 15:00,St. James' Park,Newcastle,Leicester,
16,09/12/2017 15:00,St. Mary's Stadium,Southampton,Arsenal,
16,09/12/2017 15:00,Liberty Stadium,Swansea,West Brom,
16,09/12/2017 15:00,Wembley Stadium,Spurs,Stoke,
16,09/12/2017 15:00,London Stadium,West Ham,Chelsea,
17,12/12/2017 19:45,Turf Moor,Burnley,Stoke,
17,12/12/2017 19:45,John Smith's Stadium,Huddersfield,Chelsea,
17,12/12/2017 19:45,Liberty Stadium,Swansea,Man City,
17,12/12/2017 19:45,London Stadium,West Ham,Arsenal,
17,12/12/2017 20:00,Selhurst Park,Crystal Palace,Watford,
17,12/12/2017 20:00,Old Trafford,Man Utd,Bournemouth,
17,13/12/2017 19:45,St. James' Park,Newcastle,Everton,
17,13/12/2017 19:45,St. Mary's Stadium,Southampton,Leicester,
17,13/12/2017 20:00,Anfield,Liverpool,West Brom,
17,13/12/2017 20:00,Wembley Stadium,Spurs,Brighton,
18,16/12/2017 15:00,Emirates Stadium,Arsenal,Newcastle,
18,16/12/2017 15:00,Vitality Stadium,Bournemouth,Liverpool,
18,16/12/2017 15:00,Amex Stadium,Brighton,Burnley,
18,16/12/2017 15:00,Stamford Bridge,Chelsea,Southampton,
18,16/12/2017 15:00,Goodison Park,Everton,Swansea,
18,16/12/2017 15:00,King Power Stadium,Leicester,Crystal Palace,
18,16/12/2017 15:00,Etihad Stadium,Man City,Spurs,
18,16/12/2017 15:00,bet365 Stadium,Stoke,West Ham,
18,16/12/2017 15:00,Vicarage Road,Watford,Huddersfield,
18,16/12/2017 15:00,The Hawthorns,West Brom,Man Utd,
19,23/12/2017 15:00,Emirates Stadium,Arsenal,Liverpool,
19,23/12/2017 15:00,Amex Stadium,Brighton,Watford,
19,23/12/2017 15:00,Turf Moor,Burnley,Spurs,
19,23/12/2017 15:00,Goodison Park,Everton,Chelsea,
19,23/12/2017 15:00,King Power Stadium,Leicester,Man Utd,
19,23/12/2017 15:00,Etihad Stadium,Man City,Bournemouth,
19,23/12/2017 15:00,St. Mary's Stadium,Southampton,Huddersfield,
19,23/12/2017 15:00,bet365 Stadium,Stoke,West Brom,
19,23/12/2017 15:00,Liberty Stadium,Swansea,Crystal Palace,
19,23/12/2017 15:00,London Stadium,West Ham,Newcastle,
20,26/12/2017 15:00,Vitality Stadium,Bournemouth,West Ham,
20,26/12/2017 15:00,Stamford Bridge,Chelsea,Brighton,
20,26/12/2017 15:00,Selhurst Park,Crystal Palace,Arsenal,
20,26/12/2017 15:00,John Smith's Stadium,Huddersfield,Stoke,
20,26/12/2017 15:00,Anfield,Liverpool,Swansea,
20,26/12/2017 15:00,Old Trafford,Man Utd,Burnley,
20,26/12/2017 15:00,St. James' Park,Newcastle,Man City,
20,26/12/2017 15:00,Wembley Stadium,Spurs,Southampton,
20,26/12/2017 15:00,Vicarage Road,Watford,Leicester,
20,26/12/2017 15:00,The Hawthorns,West Brom,Everton,
21,30/12/2017 15:00,Vitality Stadium,Bournemouth,Everton,
21,30/12/2017 15:00,Stamford Bridge,Chelsea,Stoke,
21,30/12/2017 15:00,Selhurst Park,Crystal Palace,Man City,
21,30/12/2017 15:00,John Smith's Stadium,Huddersfield,Burnley,
21,30/12/2017 15:00,Anfield,Liverpool,Leicester,
21,30/12/2017 15:00,Old Trafford,Man Utd,Southampton,
21,30/12/2017 15:00,St. James' Park,Newcastle,Brighton,
21,30/12/2017 15:00,Wembley Stadium,Spurs,West Ham,
21,30/12/2017 15:00,Vicarage Road,Watford,Swansea,
