Name,,Team,œm,SXI,Sub,Goals,KC,Full CS,Part CS,Goals Conc,OG,Yellow Card,Red Card,Missed Pens,Saved Pens,Pts/œm,%,Week Points,Season Points,
,"de Bruyne, K",Manchester City,MCY,5.7,8,0,1,12,-,-,-,0,0,0,0,-,10,34,17,57
,"Aguero, S",Manchester City,MCY,6.8,5,1,6,3,-,-,-,0,0,0,0,-,7.4,7,0,50
,"Jesus, G",Manchester City,MCY,5.9,7,0,6,2,-,-,-,0,1,0,0,-,8.3,29,12,49
,"Walker, K",Manchester City,MCY,4.2,7,0,0,4,5,0,3,1,0,1,0,-,10.5,15,1,44
,"Sterling, R",Manchester City,MCY,4.6,5,2,6,2,-,-,-,0,1,1,0,-,9.6,7,13,44
,"Sane, L",Manchester City,MCY,4.9,4,4,4,4,-,-,-,0,1,0,0,-,8.8,9,13,43
,"Otamendi, N",Manchester City,MCY,3.7,8,0,1,0,5,0,4,0,3,0,0,-,11.4,8,1,42
,"Stones, J",Manchester City,MCY,3.8,7,1,0,0,5,0,3,0,0,0,0,-,10.3,7,1,39
,"Silva, D",Manchester City,MCY,4.9,8,0,1,6,-,-,-,0,1,0,0,-,7.8,10,7,38
,"Moraes, E",Manchester City,MCY,3.6,8,0,0,0,4,1,4,0,0,0,0,0,10.3,6,1,37
,Fernandinho,Manchester City,MCY,3.4,8,0,1,3,-,-,-,0,2,0,0,-,8.2,3,7,28
,Danilo,Manchester City,MCY,3.7,3,3,0,1,3,1,1,0,1,0,0,-,7.6,2,0,28
,"Mendy, B",Manchester City,MCY,4.1,4,0,0,2,2,1,1,0,2,0,0,-,5.9,1,0,24
,"Delph, F",Manchester City,MCY,3,2,1,1,2,-,-,-,0,0,0,0,-,5.3,0,5,16
,"Silva, B",Manchester City,MCY,4.6,1,6,1,0,-,-,-,0,0,0,0,-,2.8,0,6,13
,"Kompany, V",Manchester City,MCY,3.9,3,0,0,0,1,0,2,0,2,0,0,-,2.3,1,0,9
,"Mangala, E",Manchester City,MCY,3,0,1,0,0,0,1,0,0,0,0,0,-,1,0,0,3
,"Bravo, C",Manchester City,MCY,3.4,0,1,0,0,0,1,0,0,0,0,0,0,0.9,0,0,3
,"Gundogan, I",Manchester City,MCY,4,0,3,0,0,-,-,-,0,0,0,0,-,0.8,0,1,3
,"Toure, Y",Manchester City,MCY,4,0,1,0,0,-,-,-,0,0,0,0,-,0.2,0,1,1
,Fernando,Manchester City,MCY,2.8,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,-
,"Kolarov, A",Manchester City,MCY,3.4,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-
,"Nasri, S",Manchester City,MCY,3.4,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,-
,Nolito,Manchester City,MCY,4.2,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,-
