Name,,Team,œm,SXI,Sub,Goals,KC,Full CS,Part CS,Goals Conc,OG,Yellow Card,Red Card,Missed Pens,Saved Pens,Pts/œm,%,Week Points,Season Points,
,Richarlison,Watford,WAT,3,7,1,3,3,-,-,-,0,1,0,0,-,12.7,6,5,38
,"Doucoure, A",Watford,WAT,2,8,0,3,0,-,-,-,0,2,0,0,-,14.5,8,2,29
,"Femenia, K",Watford,WAT,2.7,6,1,0,1,3,0,7,0,0,0,0,-,10.4,0,2,28
,"Cleverley, T",Watford,WAT,2.8,8,0,1,1,-,-,-,0,0,0,0,-,8.6,0,7,24
,"Gomes, H",Watford,WAT,2.8,8,0,0,0,3,0,13,0,0,0,0,0,8.2,0,2,23
,"Holebas, J",Watford,WAT,2.9,7,0,0,2,2,0,13,0,1,0,0,-,7.2,0,2,21
,"Kabasele, C",Watford,WAT,2.5,6,1,0,0,2,1,10,0,1,0,0,-,7.2,0,1,18
,"Gray, A",Watford,WAT,4,6,2,1,0,-,-,-,0,1,0,0,-,4.5,0,2,18
,"Deeney, T",Watford,WAT,4.3,1,5,1,1,-,-,-,0,0,0,0,-,3.5,0,6,15
,"Britos, M",Watford,WAT,2.8,4,0,1,0,1,1,4,0,1,1,0,-,5,0,2,14
,"Prodl, S",Watford,WAT,2.9,2,0,0,0,2,0,0,0,0,0,0,-,4.8,0,0,14
,"Capoue, E",Watford,WAT,3.3,2,3,1,0,-,-,-,0,1,0,0,-,3.3,0,1,11
,"Carrillo, A",Watford,WAT,2.4,4,2,0,0,-,-,-,0,0,0,0,-,4.2,0,1,10
,"Chalobah, N",Watford,WAT,2.7,5,0,0,0,-,-,-,0,1,0,0,-,3.3,0,0,9
,"Kaboul, Y",Watford,WAT,2.7,2,0,0,0,1,0,3,0,0,0,0,-,2.6,0,0,7
,"Janmaat, D",Watford,WAT,3,2,1,1,0,0,1,6,0,0,0,0,-,2.3,0,0,7
,"Okaka, S",Watford,WAT,3.2,1,0,1,0,-,-,-,0,0,0,0,-,2.2,0,0,7
,"Pereyra, R",Watford,WAT,3.2,2,3,0,0,-,-,-,0,0,0,0,-,2.2,0,2,7
,"Amrabat, N",Watford,WAT,2.6,3,0,0,0,-,-,-,0,0,0,0,-,2.3,0,0,6
,"Mariappa, A",Watford,WAT,2.3,4,1,0,0,0,1,10,0,0,0,0,-,2.2,0,2,5
,"Cathcart, C",Watford,WAT,2.4,0,1,0,0,0,1,0,0,0,0,0,-,1.2,0,0,3
,"Watson, B",Watford,WAT,2.2,0,1,0,0,-,-,-,0,0,0,0,-,0.5,0,0,1
,"Wague, M",Watford,WAT,2.4,0,1,0,0,0,0,1,0,0,0,0,-,0.4,0,0,1
,"Dja Djedje, B",Watford,WAT,2,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-
,"Pantilimon, C",Watford,WAT,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
,"Behrami, V",Watford,WAT,2.7,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,-
,"Karnezis, O",Watford,WAT,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
,"Hughes, W",Watford,WAT,2.8,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,-
,"Zeegelaar, M",Watford,WAT,2.8,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-
,"Berghuis, S",Watford,WAT,3,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,-
,"Folivi, M",Watford,WAT,3,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,-
,"Sinclair, J",Watford,WAT,3.1,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,-
,"Zarate, M",Watford,WAT,3.3,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,-
