Name,,Team,œm,SXI,Sub,Goals,KC,Full CS,Part CS,Goals Conc,OG,Yellow Card,Red Card,Missed Pens,Saved Pens,Pts/œm,%,Week Points,Season Points,
,"Rooney, W",Everton,EVE,4.6,7,1,3,0,-,-,-,0,3,0,0,-,5.9,7,7,27
,"Calvert-Lewin, D",Everton,EVE,3.2,5,3,0,4,-,-,-,0,1,0,0,-,7.5,0,5,24
,"Pickford, J",Everton,EVE,3.2,8,0,0,0,1,0,13,0,0,0,0,0,4.7,9,2,15
,"Gueye, I",Everton,EVE,3.2,8,0,0,0,-,-,-,0,2,0,0,-,4.4,0,2,14
,"Baines, L",Everton,EVE,3.6,8,0,0,0,1,0,13,0,1,0,0,-,3.9,7,2,14
,"Niasse, O",Everton,EVE,3.1,1,2,2,0,-,-,-,0,1,0,0,-,4.2,0,1,13
,"Keane, M",Everton,EVE,3.4,7,0,0,0,1,0,12,0,0,0,0,-,3.8,8,2,13
,"Sigurdsson, G",Everton,EVE,4.8,6,1,0,0,-,-,-,0,0,0,0,-,2.7,6,2,13
,"Davies, T",Everton,EVE,2.8,3,5,0,1,-,-,-,0,2,0,0,-,4.3,0,1,12
,"Jagielka, P",Everton,EVE,3,5,0,0,0,1,0,8,0,0,0,0,-,3.7,0,2,11
,"Ramirez, S",Everton,EVE,4,3,2,0,1,-,-,-,0,0,0,0,-,2.8,0,0,11
,"Holgate, M",Everton,EVE,2.9,4,0,0,1,0,0,5,0,0,0,0,-,3.4,0,2,10
,"Schneiderlin, M",Everton,EVE,3,7,0,0,0,-,-,-,0,1,1,0,-,3.3,0,2,10
,"Williams, A",Everton,EVE,3.4,7,0,0,0,0,1,11,0,2,0,0,-,2.4,1,0,8
,"Klaassen, D",Everton,EVE,4.3,3,1,0,0,-,-,-,0,0,0,0,-,1.6,0,0,7
,"Martina, C",Everton,EVE,2.9,4,1,0,0,0,1,9,0,1,0,0,-,1.7,0,0,5
,"Vlasic, N",Everton,EVE,3.4,2,1,0,0,-,-,-,0,0,0,0,-,1.5,0,2,5
,"Besic, M",Everton,EVE,2.4,0,2,0,0,-,-,-,0,0,0,0,-,0.8,0,0,2
,"Mirallas, K",Everton,EVE,3.6,0,3,0,0,-,-,-,0,1,0,0,-,0.6,0,0,2
,"Kenny, J",Everton,EVE,2.1,0,1,0,0,0,0,0,0,0,0,0,-,0.5,0,0,1
,"Lennon, A",Everton,EVE,3.3,0,1,0,0,-,-,-,0,0,0,0,-,0.3,0,0,1
,"Pennington, M",Everton,EVE,2,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-
,"Robles, J",Everton,EVE,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
,"McCarthy, J",Everton,EVE,2.6,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,-
,"Stekelenburg, M",Everton,EVE,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
,"Funes Mori, R",Everton,EVE,3,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-
,"Lookman, A",Everton,EVE,3.3,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,-
,"Coleman, S",Everton,EVE,3.6,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-
,"Bolasie, Y",Everton,EVE,4,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,-
,"Barkley, R",Everton,EVE,4.1,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,-
